gbif_id	identifier	license	publisher	institution_code	collection_code	dataset_name	basis_of_record	occurrence_id	catalog_number	recorded_by	individual_count	occurrence_status	event_date	year	month	day	country_code	state_province	county	locality	decimal_latitude	decimal_longitude	accepted_name_usage_id	scientific_name	kingdom	phylum	class	order	family	genus	specific_epithet	taxon_rank	vernacular_name	taxonomic_status	dataset_key	publishing_country	last_interpreted	has_coordinate	has_geospatial_issues	taxon_key	accepted_taxon_key	kingdom_key	phylum_key	class_key	order_key	family_key	genus_key	species_key	species	generic_name	accepted_scientific_name	verbatim_scientific_name	protocol	last_parsed	last_crawled	repatriated	level0gid	level0name	level1gid	level1name	level2gid	level2name	date_transform	selected_observer
1412239398	OBS89711769	CC0_1_0	Cornell Lab of Ornithology	CLO	EBIRD	EOD - eBird Observation Dataset	HUMAN_OBSERVATION	URN:catalog:CLO:EBIRD:OBS89711769	OBS89711769	obsr202001	1	PRESENT	9/12/77 0:00	1977	9	12	US	California	Santa Barbara	Devereux Slough	34.4136	-119.876	2480803	Platalea ajaja Linnaeus, 1758	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Platalea	ajaja	SPECIES	Roseate Spoonbill	ACCEPTED	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	US	12/16/20 12:12	TRUE	FALSE	2480803	2480803	1	44	212	7190953	5288	2480798	2480803	Platalea ajaja	Platalea	Platalea ajaja Linnaeus, 1758	Platalea ajaja	DWC_ARCHIVE	12/16/20 12:12	6/30/20 8:20	FALSE	USA	United States	USA.5_1	California	USA.5.42_1	Santa Barbara	1977-9-12	FALSE
2185156013	OBS656873892	CC0_1_0	Cornell Lab of Ornithology	CLO	EBIRD	EOD - eBird Observation Dataset	HUMAN_OBSERVATION	URN:catalog:CLO:EBIRD:OBS656873892	OBS656873892	obsr21348	1	PRESENT	9/18/77 0:00	1977	9	18	US	California	Santa Barbara	Devereux Slough	34.4136	-119.876	2480803	Platalea ajaja Linnaeus, 1758	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Platalea	ajaja	SPECIES	Roseate Spoonbill	ACCEPTED	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	US	12/16/20 11:58	TRUE	FALSE	2480803	2480803	1	44	212	7190953	5288	2480798	2480803	Platalea ajaja	Platalea	Platalea ajaja Linnaeus, 1758	Platalea ajaja	DWC_ARCHIVE	12/16/20 11:58	6/30/20 8:20	FALSE	USA	United States	USA.5_1	California	USA.5.42_1	Santa Barbara	1977-9-18	FALSE
963622903	OBS208950663	CC0_1_0	Cornell Lab of Ornithology	CLO	EBIRD	EOD - eBird Observation Dataset	HUMAN_OBSERVATION	URN:catalog:CLO:EBIRD:OBS208950663	OBS208950663	obsr107968	1	PRESENT	9/19/77 0:00	1977	9	19	US	California	Santa Barbara	Devereux Slough	34.4136	-119.876	2480803	Platalea ajaja Linnaeus, 1758	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Platalea	ajaja	SPECIES	Roseate Spoonbill	ACCEPTED	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	US	12/16/20 12:02	TRUE	FALSE	2480803	2480803	1	44	212	7190953	5288	2480798	2480803	Platalea ajaja	Platalea	Platalea ajaja Linnaeus, 1758	Platalea ajaja	DWC_ARCHIVE	12/16/20 12:02	6/30/20 8:20	FALSE	USA	United States	USA.5_1	California	USA.5.42_1	Santa Barbara	1977-9-19	FALSE
595172738	OBS99641805	CC0_1_0	Cornell Lab of Ornithology	CLO	EBIRD	EOD - eBird Observation Dataset	HUMAN_OBSERVATION	URN:catalog:CLO:EBIRD:OBS99641805	OBS99641805	obsr26637	1	PRESENT	9/24/77 0:00	1977	9	24	US	California	Santa Barbara	Devereux Slough	34.4136	-119.876	2480803	Platalea ajaja Linnaeus, 1758	Animalia	Chordata	Aves	Pelecaniformes	Threskiornithidae	Platalea	ajaja	SPECIES	Roseate Spoonbill	ACCEPTED	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	US	12/16/20 11:51	TRUE	FALSE	2480803	2480803	1	44	212	7190953	5288	2480798	2480803	Platalea ajaja	Platalea	Platalea ajaja Linnaeus, 1758	Platalea ajaja	DWC_ARCHIVE	12/16/20 11:51	6/30/20 8:20	FALSE	USA	United States	USA.5_1	California	USA.5.42_1	Santa Barbara	1977-9-24	FALSE
276491915	OBS78288335	CC0_1_0	Cornell Lab of Ornithology	CLO	EBIRD	EOD - eBird Observation Dataset	HUMAN_OBSERVATION	URN:catalog:CLO:EBIRD:OBS78288335	OBS78288335	obsr200150	1	PRESENT	10/10/78 0:00	1978	10	10	US	California	Santa Barbara	Devereux Slough	34.4136	-119.876	9687165	Motacilla alba Linnaeus, 1758	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Motacilla	alba	SPECIES	White Wagtail	ACCEPTED	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	US	12/16/20 12:02	TRUE	FALSE	9687165	9687165	1	44	212	729	5257	2490295	9687165	Motacilla alba	Motacilla	Motacilla alba Linnaeus, 1758	Motacilla alba	DWC_ARCHIVE	12/16/20 12:02	6/30/20 8:20	FALSE	USA	United States	USA.5_1	California	USA.5.42_1	Santa Barbara	1978-10-10	FALSE
1181822095	OBS265359320	CC0_1_0	Cornell Lab of Ornithology	CLO	EBIRD	EOD - eBird Observation Dataset	HUMAN_OBSERVATION	URN:catalog:CLO:EBIRD:OBS265359320	OBS265359320	obsr21348	1	PRESENT	10/10/78 0:00	1978	10	10	US	California	Santa Barbara	Devereux Slough	34.4136	-119.876	9687165	Motacilla alba Linnaeus, 1758	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Motacilla	alba	SPECIES	White Wagtail	ACCEPTED	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	US	12/16/20 12:03	TRUE	FALSE	9687165	9687165	1	44	212	729	5257	2490295	9687165	Motacilla alba	Motacilla	Motacilla alba Linnaeus, 1758	Motacilla alba	DWC_ARCHIVE	12/16/20 12:03	6/30/20 8:20	FALSE	USA	United States	USA.5_1	California	USA.5.42_1	Santa Barbara	1978-10-10	FALSE
2199940611	OBS645835935	CC0_1_0	Cornell Lab of Ornithology	CLO	EBIRD	EOD - eBird Observation Dataset	HUMAN_OBSERVATION	URN:catalog:CLO:EBIRD:OBS645835935	OBS645835935	obsr1130189	1	PRESENT	10/11/78 0:00	1978	10	11	US	California	Santa Barbara	Devereux Slough	34.4136	-119.876	9687165	Motacilla alba Linnaeus, 1758	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Motacilla	alba	SPECIES	White Wagtail	ACCEPTED	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	US	12/16/20 12:06	TRUE	FALSE	9687165	9687165	1	44	212	729	5257	2490295	9687165	Motacilla alba	Motacilla	Motacilla alba Linnaeus, 1758	Motacilla alba	DWC_ARCHIVE	12/16/20 12:06	6/30/20 8:20	FALSE	USA	United States	USA.5_1	California	USA.5.42_1	Santa Barbara	1978-10-11	FALSE
1786453490	OBS473469343	CC0_1_0	Cornell Lab of Ornithology	CLO	EBIRD	EOD - eBird Observation Dataset	HUMAN_OBSERVATION	URN:catalog:CLO:EBIRD:OBS473469343	OBS473469343	obsr116124	1	PRESENT	10/11/78 0:00	1978	10	11	US	California	Santa Barbara	Devereux Slough	34.4136	-119.876	9687165	Motacilla alba Linnaeus, 1758	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Motacilla	alba	SPECIES	White Wagtail	ACCEPTED	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	US	12/16/20 12:05	TRUE	FALSE	9687165	9687165	1	44	212	729	5257	2490295	9687165	Motacilla alba	Motacilla	Motacilla alba Linnaeus, 1758	Motacilla alba	DWC_ARCHIVE	12/16/20 12:05	6/30/20 8:20	FALSE	USA	United States	USA.5_1	California	USA.5.42_1	Santa Barbara	1978-10-11	FALSE
277399188	OBS81591401	CC0_1_0	Cornell Lab of Ornithology	CLO	EBIRD	EOD - eBird Observation Dataset	HUMAN_OBSERVATION	URN:catalog:CLO:EBIRD:OBS81591401	OBS81591401	obsr102836	1	PRESENT	10/8/78 0:00	1978	10	8	US	California	Santa Barbara	Devereux Slough	34.4136	-119.876	2483494	Myiodynastes luteiventris P.L.Sclater, 1859	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Myiodynastes	luteiventris	SPECIES	Sulphur-bellied Flycatcher	ACCEPTED	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	US	12/16/20 11:51	TRUE	FALSE	2483494	2483494	1	44	212	729	5291	2483488	2483494	Myiodynastes luteiventris	Myiodynastes	Myiodynastes luteiventris P.L.Sclater, 1859	Myiodynastes luteiventris	DWC_ARCHIVE	12/16/20 11:51	6/30/20 8:20	FALSE	USA	United States	USA.5_1	California	USA.5.42_1	Santa Barbara	1978-10-8	FALSE
181591137	OBS57956672	CC0_1_0	Cornell Lab of Ornithology	CLO	EBIRD	EOD - eBird Observation Dataset	HUMAN_OBSERVATION	URN:catalog:CLO:EBIRD:OBS57956672	OBS57956672	obsr107968	1	PRESENT	10/9/78 0:00	1978	10	9	US	California	Santa Barbara	Devereux Slough	34.4136	-119.876	9687165	Motacilla alba Linnaeus, 1758	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Motacilla	alba	SPECIES	White Wagtail	ACCEPTED	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	US	12/16/20 11:51	TRUE	FALSE	9687165	9687165	1	44	212	729	5257	2490295	9687165	Motacilla alba	Motacilla	Motacilla alba Linnaeus, 1758	Motacilla alba	DWC_ARCHIVE	12/16/20 11:51	6/30/20 8:20	FALSE	USA	United States	USA.5_1	California	USA.5.42_1	Santa Barbara	1978-10-9	FALSE
